quarter,volume,n_50,cos_50,ttr_50,mtld_50,n_100,cos_100,ttr_100,mtld_100,n_150,cos_150,ttr_150,mtld_150,n_200,cos_200,ttr_200,mtld_200
2013Q1,2806,810,0.013898341360658593,0.7771851851851852,69.55379725907282,537,0.021140262472316346,0.6694040968342645,73.53332650982576,348,0.0267323287800672,0.6035057471264367,71.79329686071334,235,0.031514322653757525,0.5604468085106382,70.89838858756532
2013Q2,3258,813,0.015106418238301542,0.7736039360393605,68.82852177751953,564,0.02349444218847012,0.6685283687943263,73.13904418343759,383,0.027825657308043233,0.6022802436901652,71.22279626631052,247,0.03264819569184626,0.5618825910931174,71.26240596116934
2013Q3,3382,818,0.014375675158789408,0.7737897310513447,67.72175634485984,552,0.02105355512621574,0.6608695652173913,70.59103899243708,375,0.02676068017391049,0.6015644444444445,71.59802590019805,241,0.031246742217784795,0.5642738589211618,72.904466454252
2013Q4,3264,833,0.014675443247616734,0.7768307322929172,69.73790057611062,588,0.02139548097209248,0.6629421768707483,71.23113727071565,408,0.026835323165795073,0.596078431372549,68.52874118506391,269,0.032120331347720896,0.5557249070631971,70.04299215231363
2014Q1,3893,844,0.014457342171428583,0.772440758293839,67.1556453547506,601,0.021759698923131246,0.661630615640599,69.96909837747329,419,0.027196686301927085,0.5975338106603023,69.35159920643932,274,0.03220613902844568,0.554507299270073,68.86199209588149
2014Q2,4259,800,0.014805265524454221,0.7761,69.32963361325386,559,0.021956959599484092,0.666386404293381,72.74943260577771,345,0.02822249604299104,0.6084444444444445,73.48914395068383,229,0.032372401425902114,0.5631877729257642,71.44045991705582
2014Q3,4216,837,0.014325675529555711,0.7743608124253285,68.69583736004559,588,0.022112490113219727,0.6639455782312925,70.72284965264595,376,0.028001717487689978,0.5993617021276595,69.98269933251488,248,0.031442884442552055,0.5562701612903225,68.32647347835172
2014Q4,4135,829,0.014076494391080522,0.7724246079613992,67.07572502501323,558,0.020768989592974896,0.6619175627240144,70.9070090930324,391,0.025346887151043405,0.6035805626598465,71.75526070727777,253,0.029741717318359732,0.5613438735177865,71.5370185106719
2015Q1,4304,828,0.014024552472085847,0.7746618357487923,68.14827216056766,587,0.02050205285329197,0.6652810902896082,72.083819764206,393,0.025720193208889727,0.6039016115351993,71.61047750444652,263,0.030248930163688334,0.5568250950570341,70.85544164756726
2015Q2,4616,815,0.0144400060322031,0.7682453987730062,65.91604836010846,546,0.021326087788801636,0.6587728937728937,68.56042082603234,367,0.027165490738746117,0.5961671207992734,68.34538729291054,254,0.03122328691230966,0.5505708661417322,67.23781297826898
2015Q3,4713,838,0.014143696935789948,0.7719093078758948,67.54115393358293,582,0.020978781988346143,0.6626632302405498,70.35958005258252,400,0.026361963278425406,0.6028,72.04366004273872,257,0.03088709883609558,0.5583463035019456,71.41347385837432
2015Q4,4523,827,0.014073687967827608,0.7721886336154776,66.7025465788754,559,0.019956685961196013,0.6668336314847942,73.11294088634901,366,0.025310603485437923,0.6046265938069217,72.83968395813366,228,0.02867375939584677,0.5613157894736843,72.06159329921786
2016Q1,4629,816,0.013533681552519786,0.769485294117647,67.60704412039419,549,0.019999440016631665,0.661384335154827,70.78260883472315,379,0.025128172086673194,0.5981002638522428,70.17134214320072,265,0.028534452989578383,0.5577547169811321,71.39579500004014
2016Q2,4900,836,0.013751613282010812,0.7663636363636365,66.30012492204172,554,0.02030870468047128,0.6615523465703971,70.4530897088029,379,0.02519934433171551,0.5988742304309587,70.01925271272559,267,0.029496941935514095,0.5602996254681648,71.17463319769679
2016Q3,5041,850,0.01377367853307555,0.775670588235294,69.31707239095765,595,0.02055518916574476,0.6632268907563025,71.76566555467875,417,0.025993398878806726,0.599392486011191,69.98032426932015,276,0.030412391460184762,0.5559420289855073,70.99557772194572
2016Q4,5161,835,0.014515530527189256,0.7652934131736526,65.30667962179629,544,0.02099577282176266,0.6600735294117647,70.50087086546006,356,0.02627717900837977,0.6003932584269663,69.67436610386709,235,0.03008086148732512,0.5664255319148936,72.46997126159856
2017Q1,5330,849,0.014313121760723163,0.7665253239104829,65.36838590749304,559,0.021142716222424175,0.6584257602862255,69.80883980295681,385,0.02670306678794908,0.5994632034632035,69.98516339306701,261,0.03182903875348189,0.5612068965517241,72.28879382726322
2017Q2,5245,837,0.01431605680806591,0.7699402628434887,65.83598370812709,560,0.020761262284477274,0.6549642857142857,67.96723814923023,374,0.026033092416099125,0.5884848484848485,66.86990656257078,241,0.03003847418582641,0.5477385892116182,66.78204755285408
2017Q3,4987,843,0.014050591430970132,0.7691103202846975,66.1484766604238,555,0.02103751322993999,0.6585765765765765,70.81377370080251,366,0.026632091195268597,0.5922768670309654,68.94364482807546,255,0.030760935675424202,0.547078431372549,67.37323089885348
2017Q4,4714,853,0.014210380504423522,0.7704572098475968,66.75100523964726,584,0.020850679847571024,0.6600171232876713,71.48256865846345,389,0.02625833604879978,0.5971550985432734,70.39899567418067,257,0.03131287149344191,0.5570428015564204,69.81112774517439
2018Q1,5000,837,0.013568535221802649,0.7662843488649942,64.65955564984253,573,0.02054853535294893,0.6598952879581151,70.32086234694445,381,0.026217206612933606,0.5995800524934383,70.10415711052245,248,0.031526078441399534,0.555483870967742,69.83570441496443
2018Q2,4842,842,0.01386175762018788,0.7673159144893112,66.0159581002723,566,0.020971623764998466,0.6552473498233216,67.74538253837545,368,0.026517811204910598,0.5934963768115942,67.13731266316681,253,0.03101120533621462,0.5444466403162056,65.71860696770923
2018Q3,5032,820,0.014353482988621153,0.7699512195121951,66.33442592191905,566,0.02096305759627946,0.6605300353356891,70.54571572193018,362,0.026149278853177787,0.595561694290976,69.38121845040187,236,0.03125704399272212,0.5534957627118644,71.01502498430459
2018Q4,4676,828,0.014911349189693834,0.7650000000000001,64.45485587805166,548,0.021790824025770934,0.652956204379562,67.71542274275016,340,0.028012323652996385,0.5888235294117646,66.81767782260549,233,0.03185547738238069,0.5411802575107296,66.45604051658671
2019Q1,5032,818,0.014391636711584428,0.7686063569682152,66.21284193762176,537,0.021718884630372373,0.6546741154562383,68.51513784155668,355,0.02661408902804187,0.5922441314553991,66.84424571038298,249,0.03036294526836605,0.5516867469879518,68.55989027365449
2019Q2,4846,839,0.014755578898624399,0.7685339690107271,66.73281914373472,559,0.02170864311170508,0.6564221824686942,68.6209903172258,373,0.02714496780901763,0.5919749776586237,68.34093167223287,260,0.03089144363830373,0.5475000000000001,66.84307733256293
2019Q3,4464,866,0.015123102207757998,0.7687759815242494,66.31548115844862,615,0.022592859676072673,0.6628617886178862,71.25665191054806,407,0.027910220052296143,0.5992956592956593,70.40200692713692,261,0.032686194066179626,0.5548659003831418,71.02626614058431
2019Q4,4368,819,0.014596371406308662,0.7621978021978022,63.81384461667943,540,0.021850604698565035,0.6524444444444444,67.12338559024464,356,0.02645106210535642,0.5908426966292136,68.1900065196354,248,0.031200523531082245,0.5461290322580645,67.23588582755154
2020Q1,4354,862,0.014471476898511942,0.7627378190255221,63.71636343012275,585,0.02179451319743574,0.6595213675213675,70.15897873016925,389,0.02688104050834167,0.5941730934018852,68.82542611659376,279,0.03221995931006951,0.5550537634408602,71.40855007811463
2020Q2,5369,859,0.014706064221525773,0.7627939464493597,63.79764436589888,604,0.021944971130410416,0.6512913907284769,66.81286782034417,422,0.026881161863277152,0.588957345971564,66.76518229422871,290,0.03074025746839069,0.5472068965517242,67.17828650369883
2020Q3,4694,845,0.014211996543243925,0.7656568047337279,64.85150328147722,638,0.021545955803702863,0.6545297805642633,68.43703707904723,449,0.02713970787383355,0.5874684484038604,66.98755541420643,310,0.031708304987914944,0.5432903225806452,66.62842029278207
2020Q4,4120,843,0.014934261702599004,0.7633689205219454,64.69767612004054,609,0.022108895404576688,0.6517898193760262,68.62337449360233,418,0.02720177630735666,0.5857416267942583,66.81114532349508,307,0.0313702438135749,0.5402280130293159,65.41550549707301
2021Q1,4032,840,0.014257427261989029,0.7655238095238095,64.20958337305368,586,0.021115117374710776,0.6550682593856655,67.8890031095782,397,0.02588081272254502,0.5916204869857262,67.38628613476345,274,0.03031209178740766,0.5475,66.94855695787962
2021Q2,3953,866,0.01425624675741213,0.7618475750577367,62.835024267847686,615,0.021630472127287827,0.6542439024390244,68.5219659865958,418,0.02695541305895888,0.5932854864433812,68.20731147030553,287,0.03080471729045052,0.5516898954703832,69.20199232248584
2021Q3,3453,851,0.014695602330193121,0.7694477085781433,66.03020741729853,619,0.021897388965489283,0.6549757673667205,69.0703661396406,431,0.027874894478448625,0.5930394431554524,68.37307302075128,301,0.03258059150831923,0.5475083056478406,67.34901767438929
2021Q4,3653,877,0.014523211965986473,0.7675712656784494,65.92984558557977,614,0.022206943550225317,0.6567752442996743,69.45194003531853,414,0.02786222236598542,0.5914975845410628,69.17553351098177,294,0.03313878220160088,0.550952380952381,70.20033417551109
2022Q1,3475,875,0.014639341002220162,0.7654857142857143,64.94529446892213,653,0.02179347690377776,0.6551761102603368,68.04209848101014,463,0.027202845605957687,0.5898200143988481,67.44930868489654,312,0.032492323415456686,0.5470192307692309,67.42312736990252
2022Q2,3216,884,0.015031947551886301,0.7621945701357465,63.74152285972122,650,0.022261942524288925,0.6537538461538461,67.43754995655951,452,0.026972802144267265,0.5910471976401179,67.54252406736686,332,0.032952196079445904,0.5497138554216867,68.80212603680678
2022Q3,3257,860,0.014571525989964924,0.7713023255813954,68.16136687375038,617,0.021907318130036827,0.6585899513776338,69.71195884047123,432,0.027060779004086898,0.5959413580246915,68.33803339704826,295,0.03153688031169407,0.5519830508474577,68.43396073508595
2022Q4,3079,833,0.014793022503478529,0.7638415366146458,64.31573076710878,608,0.02216496274352711,0.6575164473684211,68.13099879912414,437,0.02747598791947862,0.597726926010679,68.94761973989523,299,0.032132113811044034,0.5565886287625419,70.14173602149678
2023Q1,3199,879,0.014797527633667443,0.7605688282138794,62.567645786920295,686,0.02239118742944868,0.6502040816326531,66.01521566303448,481,0.028445844283026985,0.5895218295218294,66.89906597106643,352,0.032642966758582415,0.5494602272727273,67.85650704036355
2023Q2,2718,891,0.014194482076623991,0.7615937149270483,63.14445240353946,653,0.021470166982276623,0.651791730474732,66.66300476683838,475,0.02724126253693181,0.5891228070175439,67.03284207869618,345,0.03209032822821468,0.546463768115942,66.28241038462012
2023Q3,2373,880,0.014186498537262752,0.7666818181818181,64.73542419324679,650,0.021057472047539712,0.6574461538461538,69.30387436280265,459,0.02640365835578618,0.5946550472040668,68.65834994079512,324,0.0311113235972922,0.5515432098765432,69.59184580497659
2023Q4,2653,890,0.013895818219822813,0.774314606741573,67.2467433678004,647,0.0208380998922092,0.662210200927357,71.25868331550465,470,0.026023916540503737,0.5999716312056738,71.81985125170804,321,0.03120611568242027,0.5559501557632399,71.5812821904839
2024Q1,2489,902,0.014237658643378141,0.7747228381374722,68.63075550176467,665,0.021646940179802385,0.6640902255639097,72.64113221339402,475,0.027583564056019562,0.5999719298245614,70.8459352879025,348,0.03190683410584426,0.5550431034482759,69.95420572928218
2024Q2,2246,904,0.013921443151200766,0.7717699115044248,66.9179337911664,687,0.021062195197016232,0.6629548762736536,71.11600856481073,508,0.025957055238385526,0.5983070866141733,70.55717404477832,373,0.030627147765381252,0.5549597855227882,70.83067978324898
2024Q3,1827,920,0.014645111631339889,0.7768478260869566,69.46733804826545,711,0.02204214168379572,0.6631645569620253,71.77091496889214,531,0.027381674173048758,0.5995731324544884,70.43767497141906,396,0.031815420678844616,0.5541666666666666,69.60789021215373
2024Q4,1654,906,0.014126427375713645,0.7706401766004416,65.31289284458403,713,0.021230632224634182,0.6624544179523142,71.32081944104574,524,0.027018087340768156,0.5979007633587786,70.60769134060195,381,0.03142959855852843,0.5584383202099737,71.89579045829521
2025Q1,1513,934,0.014240551069869316,0.7778586723768737,68.36405549736212,759,0.022027192693667607,0.6658102766798419,72.60461405714578,582,0.027831637666735954,0.6048682703321879,73.35996336803598,417,0.03295933753732369,0.5609832134292566,73.97809524877614
2025Q2,1054,914,0.01369727197568161,0.7787308533916849,69.9233320607222,734,0.02111389130581262,0.6713760217983651,74.57344250660209,563,0.02611321351141162,0.609757252812315,74.85335462270355,417,0.030303412466705,0.5632374100719425,72.97488324930377
2025Q3,890,845,0.0142237560708717,0.7838106508875738,71.63780875176958,697,0.021303260836818702,0.6760545193687232,75.92242907868557,546,0.027464663043778755,0.6099389499389499,74.48547939546546,434,0.03209331340987564,0.5642972350230415,73.96746356832551
2025Q4,756,700,0.014671191809635688,0.7813428571428572,71.72604053101792,566,0.022357701563479965,0.6731978798586573,75.49495241624288,435,0.027937618495611334,0.6087356321839079,75.45341239344584,334,0.03341071992977593,0.5634730538922156,75.44516178108154
2026Q1,656,607,0.01395502286427861,0.7881383855024712,73.50006384157685,505,0.020711909178509926,0.6766138613861385,77.12315528422445,387,0.025675917827233347,0.612454780361757,76.826261300335,310,0.03001460925151376,0.5685161290322581,76.23822917856894
