corpus,cog_load,metric,n_quarters,pre_slope,pre_slope_p,level_jump,level_jump_p,slope_change,slope_change_p,post_slope,mk_tau_full,mk_p_full,mk_tau_post,mk_p_post,theil_slope_full,prepost_diff,prepost_diff_lo,prepost_diff_hi,prepost_p
Seasoned Advice,low,sem_pairwise_cosine,64,-0.00021035558091736945,0.0045918400146283365,0.004900494617477952,0.02108764840590273,-0.0003137358278715545,0.08987490220652337,-0.0005240914087889239,-0.3839285714285714,7.316618010469175e-06,-0.3904761904761905,0.04629247541540862,-0.0001431064755731939,-0.004027034766979312,-0.0068247018843730425,-0.0010827191792216618,0.9959
Seasoned Advice,low,lc_sem_pairwise_cosine,64,-0.00018476406434466086,0.07287166320984705,0.004793901952775747,0.03616116691949401,-7.333593041191518e-05,0.6814342315145234,-0.00025809999475657607,-0.20238095238095236,0.01808867968369637,-0.08571428571428572,0.6971814254173712,-6.807652027004368e-05,-0.0016318996191372892,-0.0045530198613364554,0.0015554878065202034,0.8494
Travel,low,sem_pairwise_cosine,61,-0.000274417783597021,0.21957671324106587,0.0015990783561414161,0.7388353082715526,0.0011936366781688352,3.7136951670596036e-07,0.0009192188945718143,0.12131147540983606,0.16712925138267465,0.561904761904762,0.0028582293753424705,0.0001094313184750202,0.0015847927036135995,-0.002518026234891847,0.005365363598662513,0.2082
Travel,low,lc_sem_pairwise_cosine,61,-2.0214735287703096e-05,0.9291377461376633,-0.0014184595508926173,0.7826006194683934,0.0012443110540584432,1.0948392289010293e-06,0.00122409631877074,0.28415300546448086,0.0012125320714269224,0.580952380952381,0.0019359627197342143,0.0002683027472240217,0.006675168401241466,0.0022121796634150762,0.011062904349503399,0.0011
Bicycles,low,sem_pairwise_cosine,64,-0.00042415330255012604,8.68873011346173e-06,-0.0020790439452595738,0.49170527362348493,0.0010841036686855827,0.004545168754565759,0.0006599503661354567,-0.6091269841269841,1.1226387598570996e-12,0.14285714285714288,0.4950508526248027,-0.00029055497136096925,-0.008063223946065554,-0.01182591417588741,-0.004292433645244376,1.0
Bicycles,low,lc_sem_pairwise_cosine,64,-0.00039960691435889355,3.594736643021558e-07,-0.0050995709422263745,0.10344068101513268,0.0009858946676738188,0.0030844016381078106,0.0005862877533149252,-0.5952380952380952,3.592593515676889e-12,0.29523809523809524,0.13946285911906778,-0.000352779444529643,-0.010985729527995203,-0.01504127591837152,-0.007301444515150512,1.0
Gardening,low,sem_pairwise_cosine,61,8.391196308794115e-05,0.2336863164173948,0.0004883955721754509,0.9154296812985648,0.00017202183028958113,0.7541100493881154,0.0002559337933775223,0.20327868852459016,0.020617076563492032,0.18095238095238098,0.3794503959627968,0.00010155881555041181,0.004251863258384891,-3.091440724769033e-05,0.00895439503904716,0.0258
Gardening,low,lc_sem_pairwise_cosine,61,4.5338335092287636e-05,0.6165139430924101,-2.1375882865866644e-05,0.9968572738542071,-0.00014528563641883036,0.8089206695752835,-9.994730132654272e-05,-0.026229508196721308,0.7651690283505865,-0.06666666666666668,0.770495669755301,-1.9319523486162525e-05,0.0003444438825171703,-0.004729680873956462,0.006096797237043058,0.4617
Role-playing Games,low,sem_pairwise_cosine,64,-0.0007100394077570636,1.1506532709488577e-06,0.008228017190776997,0.024792246589016936,0.0011065787703322559,6.564679858045522e-08,0.0003965393625751923,-0.43551587301587297,3.6415496431728107e-07,0.3142857142857143,0.11424717239544455,-0.00028595390509322837,-0.0067471924651249515,-0.01075759131053922,-0.0030611451236705386,0.9999
Role-playing Games,low,lc_sem_pairwise_cosine,64,-0.0008573862541021448,2.344964028856611e-07,0.010042703735739322,0.016109027589790645,0.001448089040894632,9.492539126214919e-11,0.0005907027867924871,-0.39880952380952384,3.1918422207269236e-06,0.5428571428571429,0.00414288160001619,-0.00033906313576783384,-0.007257033109268923,-0.01192273817596332,-0.002870620757826335,0.9997
