quarter,group,n,n_lc,score_min,score_max,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim,sem_pairwise_cosine_lo,sem_pairwise_cosine_hi,lc_sem_pairwise_cosine_lo,lc_sem_pairwise_cosine_hi
2015Q4,low,400,307,-4,2,0.12563262171484954,0.8721814598394375,81.82216657289278,0.14008534673990164,0.8571136283309124,77.97266726805205,0.1183120367097702,0.13270565214876914,0.13194928589446775,0.14814757264557338
2016Q1,high,400,334,1,72,0.1205038192573041,0.8772974402908391,77.16392088144656,0.14195254739595073,0.8554784482549354,73.3219993590403,0.11382295544993434,0.1285843476976324,0.13417496378356225,0.14983215365295868
2016Q1,low,400,299,-5,1,0.1150836338306475,0.8827040752539291,78.37520354884904,0.13376523186943567,0.863337661882636,73.34023106098337,0.1076807203205442,0.12232764581772244,0.12582436824120016,0.14229720424623626
2016Q2,high,400,339,1,26,0.11570817117501617,0.8820810992529213,79.4719165012404,0.134520762969204,0.86292620093336,76.04873738024901,0.10888807983279196,0.12341004823290515,0.12652891396035976,0.14293158294047656
2016Q2,low,400,291,-3,1,0.10779507328891655,0.8899744143943058,78.27167225190807,0.12217498264392848,0.874808436540415,73.40926249581743,0.10142721191618419,0.11462456873419057,0.11361477439922534,0.13087699747600529
2016Q3,high,400,339,1,22,0.11676166180172004,0.8810302423527843,76.29819904110647,0.1308303392638759,0.8666057384330677,73.74842273667886,0.11039168181711913,0.12344208366061468,0.12345128095719328,0.13789080842490753
2016Q3,low,400,303,-3,1,0.1125418369737731,0.8852395176186614,79.02778531949986,0.12704513362302017,0.8700738272140195,74.61147466612039,0.10610003473078344,0.11967503833706032,0.11933796448977688,0.1356665607742023
2016Q4,high,400,319,1,76,0.11596496298965499,0.8818249494178192,75.31653556989927,0.1386711018784151,0.858628807531862,70.54810527291345,0.10845849961119179,0.12270504493749253,0.13074063350840287,0.14713518021889666
2016Q4,low,400,298,-4,1,0.11964930547974464,0.8781498177839547,80.43189926004973,0.13835956563751475,0.8587490235089199,73.11758282099592,0.11217267684994937,0.1264932859845087,0.1296227942222816,0.1466461401472528
2017Q1,high,400,336,1,16,0.11563129141756547,0.8821577868109785,78.78624565087163,0.1387966023061216,0.858640292343599,76.42198462691213,0.10948544438986474,0.12192205222921902,0.1312373055617482,0.14585237872264875
2017Q1,low,400,306,-8,1,0.11365438921189919,0.8841297467611305,78.31637675991303,0.12918549224731812,0.8679687087077385,74.79755016572517,0.10724426948396576,0.12027719529340375,0.12142322254822004,0.1369356564032719
2017Q2,high,392,341,1,15,0.11913698464601656,0.8786159158250192,72.47087652235662,0.13508087123550697,0.8623827090320458,69.99137253602571,0.1132719338872941,0.12530823569021293,0.12778430326586648,0.1420512243529723
2017Q2,low,392,281,-4,1,0.12009719854780754,0.8776581514484879,79.0241413073964,0.1403131671821386,0.8566274490711786,72.39446989517653,0.11201373543018418,0.12779920368290895,0.13190535057720126,0.14887876048672807
