quarter,topic,count,total,share
2019Q4,34,6,343,0.01749271137026239
2019Q4,35,2,343,0.0058309037900874635
2019Q4,36,3,343,0.008746355685131196
2019Q4,37,3,343,0.008746355685131196
2019Q4,38,3,343,0.008746355685131196
2019Q4,39,5,343,0.014577259475218658
2019Q4,40,1,343,0.0029154518950437317
2019Q4,42,2,343,0.0058309037900874635
2019Q4,43,1,343,0.0029154518950437317
2019Q4,44,3,343,0.008746355685131196
2019Q4,45,2,343,0.0058309037900874635
2020Q1,0,22,345,0.06376811594202898
2020Q1,1,23,345,0.06666666666666667
2020Q1,2,24,345,0.06956521739130435
2020Q1,3,14,345,0.04057971014492753
2020Q1,4,4,345,0.011594202898550725
2020Q1,5,6,345,0.017391304347826087
2020Q1,6,9,345,0.02608695652173913
2020Q1,7,13,345,0.03768115942028986
2020Q1,8,9,345,0.02608695652173913
2020Q1,9,16,345,0.0463768115942029
2020Q1,10,8,345,0.02318840579710145
2020Q1,11,4,345,0.011594202898550725
2020Q1,12,3,345,0.008695652173913044
2020Q1,13,8,345,0.02318840579710145
2020Q1,14,9,345,0.02608695652173913
2020Q1,15,5,345,0.014492753623188406
2020Q1,16,18,345,0.05217391304347826
2020Q1,17,6,345,0.017391304347826087
2020Q1,18,3,345,0.008695652173913044
2020Q1,19,3,345,0.008695652173913044
2020Q1,20,1,345,0.002898550724637681
2020Q1,21,7,345,0.020289855072463767
2020Q1,22,6,345,0.017391304347826087
2020Q1,23,8,345,0.02318840579710145
2020Q1,24,6,345,0.017391304347826087
2020Q1,25,6,345,0.017391304347826087
2020Q1,26,6,345,0.017391304347826087
2020Q1,27,5,345,0.014492753623188406
2020Q1,28,9,345,0.02608695652173913
2020Q1,29,5,345,0.014492753623188406
2020Q1,30,8,345,0.02318840579710145
2020Q1,31,7,345,0.020289855072463767
2020Q1,32,2,345,0.005797101449275362
2020Q1,33,4,345,0.011594202898550725
2020Q1,34,2,345,0.005797101449275362
2020Q1,35,8,345,0.02318840579710145
2020Q1,36,2,345,0.005797101449275362
2020Q1,37,7,345,0.020289855072463767
2020Q1,38,8,345,0.02318840579710145
2020Q1,39,7,345,0.020289855072463767
2020Q1,40,3,345,0.008695652173913044
2020Q1,41,7,345,0.020289855072463767
2020Q1,42,5,345,0.014492753623188406
