quarter,topic,count,total,share
2012Q3,21,7,386,0.018134715025906734
2012Q3,22,9,386,0.023316062176165803
2012Q3,23,11,386,0.02849740932642487
2012Q3,24,1,386,0.0025906735751295338
2012Q3,25,6,386,0.015544041450777202
2012Q3,26,2,386,0.0051813471502590676
2012Q3,27,8,386,0.02072538860103627
2012Q3,28,4,386,0.010362694300518135
2012Q3,29,4,386,0.010362694300518135
2012Q3,30,1,386,0.0025906735751295338
2012Q3,31,1,386,0.0025906735751295338
2012Q3,32,14,386,0.03626943005181347
2012Q3,33,1,386,0.0025906735751295338
2012Q3,34,4,386,0.010362694300518135
2012Q3,36,1,386,0.0025906735751295338
2012Q3,37,8,386,0.02072538860103627
2012Q3,38,2,386,0.0051813471502590676
2012Q3,39,12,386,0.031088082901554404
2012Q3,40,2,386,0.0051813471502590676
2012Q3,41,1,386,0.0025906735751295338
2012Q3,42,7,386,0.018134715025906734
2012Q3,43,1,386,0.0025906735751295338
2012Q3,44,2,386,0.0051813471502590676
2012Q3,45,2,386,0.0051813471502590676
2012Q3,46,9,386,0.023316062176165803
2012Q3,47,6,386,0.015544041450777202
2012Q3,49,3,386,0.007772020725388601
2012Q3,50,3,386,0.007772020725388601
2012Q3,51,1,386,0.0025906735751295338
2012Q3,52,5,386,0.012953367875647668
2012Q4,0,34,374,0.09090909090909091
2012Q4,1,8,374,0.0213903743315508
2012Q4,2,3,374,0.008021390374331552
2012Q4,3,23,374,0.06149732620320856
2012Q4,4,8,374,0.0213903743315508
2012Q4,5,6,374,0.016042780748663103
2012Q4,6,6,374,0.016042780748663103
2012Q4,7,15,374,0.040106951871657755
2012Q4,8,4,374,0.0106951871657754
2012Q4,9,7,374,0.01871657754010695
2012Q4,10,3,374,0.008021390374331552
2012Q4,11,3,374,0.008021390374331552
2012Q4,12,8,374,0.0213903743315508
2012Q4,13,7,374,0.01871657754010695
2012Q4,14,14,374,0.0374331550802139
2012Q4,15,15,374,0.040106951871657755
2012Q4,16,21,374,0.05614973262032086
2012Q4,17,15,374,0.040106951871657755
2012Q4,18,9,374,0.02406417112299465
2012Q4,19,3,374,0.008021390374331552
2012Q4,20,11,374,0.029411764705882353
2012Q4,21,5,374,0.013368983957219251
2012Q4,22,6,374,0.016042780748663103
2012Q4,23,5,374,0.013368983957219251
2012Q4,24,2,374,0.0053475935828877
2012Q4,25,6,374,0.016042780748663103
2012Q4,26,3,374,0.008021390374331552
2012Q4,27,6,374,0.016042780748663103
2012Q4,28,7,374,0.01871657754010695
2012Q4,29,13,374,0.034759358288770054
2012Q4,30,5,374,0.013368983957219251
2012Q4,31,5,374,0.013368983957219251
2012Q4,32,7,374,0.01871657754010695
2012Q4,34,2,374,0.0053475935828877
2012Q4,37,4,374,0.0106951871657754
2012Q4,38,3,374,0.008021390374331552
2012Q4,39,12,374,0.03208556149732621
2012Q4,40,1,374,0.00267379679144385
2012Q4,41,1,374,0.00267379679144385
2012Q4,42,7,374,0.01871657754010695
2012Q4,43,21,374,0.05614973262032086
2012Q4,44,5,374,0.013368983957219251
2012Q4,46,4,374,0.0106951871657754
2012Q4,47,4,374,0.0106951871657754
2012Q4,48,2,374,0.0053475935828877
