quarter,n,n_sample,n_topics,p_within,overall_cosine,within_cosine,between_cosine,mc_overall_cosine,mc_between_cosine,between_centroid_cosine,eff_topics,topic_entropy,comp_jsd
2015Q1,800,800,50,0.021079474342928662,0.05890447943283154,0.24788185124651796,0.05483515658574254,-0.0012429663163879242,-0.005541188703486129,0.177482655079511,47.107912177693855,3.852440973701727,0.009548138366027548
2015Q2,800,800,50,0.022202753441802253,0.0576782644961257,0.23945443806019545,0.05355068940073287,-0.0012412286543699047,-0.005583621223897749,0.1817840434633243,45.914605842767116,3.8267832765304814,0.015866710994360232
2015Q3,800,800,50,0.02152377972465582,0.05865714913958942,0.2464248537582393,0.05452677721038834,-0.0012427310848175145,-0.00561683436088611,0.18101272013316902,46.717036937731436,3.8441089147992145,0.012707537462877255
2015Q4,800,800,50,0.021814768460575718,0.054791525883403545,0.23675604043554546,0.050733486950686274,-0.0012446301704610368,-0.005557379694640744,0.17503719462301934,46.257617370298576,3.8342261502952426,0.015146562048636479
2016Q1,800,800,50,0.022428035043804757,0.053849691500007464,0.23377063720637703,0.0497218385949809,-0.001243264129656081,-0.005697655980958624,0.17801636865641202,45.65928920060143,3.821207073757558,0.015743763135038235
2016Q2,800,800,50,0.022309136420525656,0.051518077559747986,0.2379939030658557,0.04726303664107243,-0.0012430719467045016,-0.0057504867816129315,0.16040381360931005,45.906274466488455,3.8266018063404013,0.01341121860662125
2016Q3,800,800,50,0.02173028785982478,0.053329253971136956,0.2473332637720589,0.049019846323514485,-0.0012466296783673252,-0.0058283451377378805,0.1677378426264906,46.61788894169657,3.8419843503364484,0.013660669747073454
2016Q4,800,800,50,0.021683354192740926,0.05464233873124921,0.23965694103883456,0.05054168566574384,-0.0012455295362116625,-0.00559596470357723,0.17346482269322802,46.56215224559061,3.8407880275608144,0.01151959012696012
2017Q1,800,800,50,0.021989987484355444,0.051971236905855596,0.237865090207823,0.04779152150906309,-0.0012449944392314476,-0.005696636715280394,0.1662963109541849,46.19707748926036,3.8329165382786163,0.018233231877506705
2017Q2,800,800,50,0.02195244055068836,0.054543554232139864,0.23877173391993756,0.05040852202099153,-0.0012445499608110997,-0.0057011029923479725,0.1763760610986198,46.20766310055245,3.833145652310447,0.014369835489402353
