quarter,volume,n_sample,n_lc,sem_pairwise_cosine,sem_centroid_variance,sem_eff_dim,lc_sem_pairwise_cosine,lc_sem_centroid_variance,lc_sem_eff_dim
2015Q4,4523,800,447,0.10047602111608121,0.8983995739103139,125.99557291843044,0.09287444815635194,0.9050961881929911,114.40970553552923
2016Q1,4629,800,469,0.10087679669671581,0.8979992992991551,123.15438448348547,0.09137657994945195,0.9066860566815703,113.22092735899935
2016Q2,4900,800,474,0.10388247633600771,0.8949973767594123,126.31179847914058,0.0940036897615271,0.9040849256177166,113.44172300288103
2016Q3,5041,800,478,0.10475675077692617,0.894124195161545,126.98449629274894,0.0921272175504352,0.9059734670051096,113.74801429365934
2016Q4,5161,800,438,0.09870630479061043,0.9001670780903779,121.33130160105092,0.091524730357669,0.9064011251910928,111.59343037187112
2017Q1,5330,800,448,0.09929683428279981,0.8995772867600537,123.53431477066292,0.09248360243993098,0.9054906913155153,110.88018598509908
2017Q2,5245,800,448,0.10036414669539909,0.8985113084879701,125.99524135333459,0.09225853736829008,0.9057152540097642,111.7389422595969
2017Q3,4987,800,456,0.10222470920174578,0.8966530716847564,123.40293827715723,0.09559484358263057,0.9024218117761033,110.3112151578741
2017Q4,4714,800,455,0.10139119353300138,0.8974855454589149,124.44096794488993,0.09230088012051937,0.9057041767588664,112.03349965824644
2018Q1,5000,800,456,0.09919716110365577,0.8996768353477238,125.8923949579752,0.09073398225470802,0.907272013320412,113.30084852185426
2018Q2,4842,800,458,0.10305327022575213,0.89582554636203,121.84613282884618,0.0925503230919775,0.9054683457357342,109.30057270459763
2018Q3,5032,800,467,0.10360799882753603,0.8952715111709983,122.45828046838355,0.09235730367478114,0.9056991359476488,113.4910774488296
2018Q4,4676,800,436,0.09661381821888664,0.902256949053887,121.71044978229503,0.08981795387694767,0.9080944726227701,108.90580689808819
2019Q1,5032,800,440,0.10232389714698452,0.8965540077244492,124.74825654056971,0.09554269811464677,0.902401717108341,110.01149783564145
2019Q2,4846,800,463,0.10304580352355272,0.8958330037308517,123.58624238710358,0.09433875222004622,0.9037051759704938,110.237245833616
2019Q3,4464,800,470,0.10561781134849742,0.8932642109156882,123.29876601583584,0.0972320022406759,0.9008472147853681,108.86878227186733
2019Q4,4368,800,443,0.09840896173125901,0.9004640494709051,126.91070358662122,0.09185483034348925,0.9060951805602206,113.49388187641297
2020Q1,4354,800,444,0.10119021458066164,0.8976862731875642,126.12431389037954,0.09329120809721322,0.9046666549840868,109.34287924669569
2020Q2,5369,800,464,0.10219276651214204,0.8966849744459982,121.5702962624238,0.09145539939777331,0.9065865303423081,109.23937725443037
2020Q3,4694,800,521,0.11187938125065247,0.8870104679759109,120.18478991902923,0.09320558270251915,0.9050539289725337,113.42052662720884
2020Q4,4120,800,474,0.1026276842109155,0.8962506003943481,120.4969717541113,0.09368897739537993,0.9043989740337243,108.05794669140862
2021Q1,4032,800,477,0.1027833492390589,0.89609512994749,123.16590749114428,0.09107147900233944,0.9070230104714601,113.18893110234153
2021Q2,3953,800,490,0.10588174519624184,0.8930006069852534,122.35527972237631,0.09351636637861241,0.9046336670221603,111.12339189182967
2021Q3,3453,800,485,0.10435489378445707,0.8945255498327735,123.8228077238044,0.09248733460686306,0.9056415052583058,111.22333702015541
2021Q4,3653,800,504,0.11036571351133631,0.8885222436305529,120.76020639897307,0.09199805601678203,0.906200352824521,112.65531843973768
2022Q1,3475,800,541,0.11530544924851165,0.883588682563049,120.01136295903959,0.09604723815206094,0.9022818694970187,111.84905270790145
2022Q2,3216,800,537,0.1146480952439084,0.8842452148751465,118.85039660930514,0.09250548047867604,0.9058045855929788,111.38368727888503
2022Q3,3257,800,516,0.10919577602872262,0.8896907186913132,123.11240735229472,0.09251458614975232,0.9057267211877472,115.26017742424631
2022Q4,3079,800,517,0.11160331212726517,0.8872861920128939,122.40482212036568,0.09283518374958254,0.9054101454259486,114.57421406163878
2023Q1,3199,800,531,0.11287618492050723,0.8860149103106434,121.56341646711526,0.09317519759872428,0.9051170344118195,114.48306722802648
2023Q2,2718,800,543,0.11637040508876607,0.8825250579175948,117.0576069796935,0.09514996866494438,0.9031836408537756,111.41827824766577
2023Q3,2373,800,540,0.11491736550784067,0.8839762811990441,122.73355802591483,0.09256142558605315,0.9057581326094766,117.24664146920023
2023Q4,2653,800,536,0.12128760542956153,0.8776140040772255,119.62779983211819,0.09810473688373854,0.9002126226999998,111.20729371147132
2024Q1,2489,800,555,0.12187318300695124,0.8770291584718075,118.46175985903912,0.09695469462419921,0.901418196717466,113.2635946121895
2024Q2,2246,800,578,0.12767039864038285,0.8712391893579177,115.57232884433989,0.09680718295571647,0.9016301997137571,114.71984064234806
2024Q3,1827,800,575,0.1291693251350312,0.8697421365213875,117.94508415465198,0.09868835548123235,0.899744146006561,115.84041245894707
2024Q4,1654,800,565,0.12210886752803424,0.8767937685563758,117.50305615414106,0.0942138307421689,0.9041830078963128,116.18069390796622
2025Q1,1513,800,613,0.13551697567734095,0.8634024205422557,116.66876018378387,0.09958636612811049,0.8989447698688359,116.47347526928453
2025Q2,1054,800,595,0.1395827039507683,0.8593417744291701,114.51270222347667,0.10022999106488127,0.8982577904327067,117.0932377468024
2025Q3,890,800,624,0.1454585616199168,0.8534732615821081,113.71337888122261,0.09910834150962357,0.8994479218581803,115.95823092766243
2025Q4,756,756,566,0.14038529797916244,0.858477645536683,112.3331641104259,0.09896858954395431,0.8994394821690209,114.31643509137064
2026Q1,656,656,505,0.14579067049817854,0.8529071811336784,112.08468444237216,0.10010115116359888,0.8981168709179131,114.2298469949223
