quarter,topic,count,total,share
2012Q2,18,17,389,0.043701799485861184
2012Q2,19,9,389,0.02313624678663239
2012Q2,20,3,389,0.007712082262210797
2012Q2,21,5,389,0.012853470437017995
2012Q2,22,12,389,0.030848329048843187
2012Q2,23,3,389,0.007712082262210797
2012Q2,24,6,389,0.015424164524421594
2012Q2,25,10,389,0.02570694087403599
2012Q2,26,3,389,0.007712082262210797
2012Q2,27,11,389,0.028277634961439587
2012Q2,29,3,389,0.007712082262210797
2012Q2,30,5,389,0.012853470437017995
2012Q2,31,3,389,0.007712082262210797
2012Q2,32,7,389,0.017994858611825194
2012Q2,33,4,389,0.010282776349614395
2012Q2,34,2,389,0.005141388174807198
2012Q2,35,7,389,0.017994858611825194
2012Q2,36,4,389,0.010282776349614395
2012Q2,37,5,389,0.012853470437017995
2012Q2,38,3,389,0.007712082262210797
2012Q2,39,3,389,0.007712082262210797
2012Q2,40,8,389,0.02056555269922879
2012Q2,41,3,389,0.007712082262210797
2012Q2,42,4,389,0.010282776349614395
2012Q2,43,2,389,0.005141388174807198
2012Q2,44,3,389,0.007712082262210797
2012Q2,45,1,389,0.002570694087403599
2012Q2,46,2,389,0.005141388174807198
2012Q2,47,2,389,0.005141388174807198
2012Q2,48,3,389,0.007712082262210797
2012Q2,49,2,389,0.005141388174807198
2012Q2,51,2,389,0.005141388174807198
2012Q2,54,1,389,0.002570694087403599
2012Q3,0,61,422,0.14454976303317535
2012Q3,1,10,422,0.023696682464454975
2012Q3,2,21,422,0.04976303317535545
2012Q3,3,14,422,0.03317535545023697
2012Q3,4,5,422,0.011848341232227487
2012Q3,5,7,422,0.016587677725118485
2012Q3,6,13,422,0.030805687203791468
2012Q3,7,15,422,0.035545023696682464
2012Q3,8,12,422,0.02843601895734597
2012Q3,9,8,422,0.018957345971563982
2012Q3,10,28,422,0.06635071090047394
2012Q3,11,12,422,0.02843601895734597
2012Q3,12,13,422,0.030805687203791468
2012Q3,13,4,422,0.009478672985781991
2012Q3,14,8,422,0.018957345971563982
2012Q3,15,7,422,0.016587677725118485
2012Q3,16,16,422,0.037914691943127965
2012Q3,17,13,422,0.030805687203791468
2012Q3,18,9,422,0.02132701421800948
2012Q3,19,2,422,0.004739336492890996
2012Q3,20,7,422,0.016587677725118485
2012Q3,21,8,422,0.018957345971563982
2012Q3,22,13,422,0.030805687203791468
2012Q3,23,4,422,0.009478672985781991
2012Q3,24,4,422,0.009478672985781991
2012Q3,25,10,422,0.023696682464454975
2012Q3,26,8,422,0.018957345971563982
2012Q3,27,6,422,0.014218009478672985
2012Q3,28,3,422,0.0071090047393364926
2012Q3,29,5,422,0.011848341232227487
2012Q3,30,1,422,0.002369668246445498
2012Q3,31,8,422,0.018957345971563982
2012Q3,32,7,422,0.016587677725118485
2012Q3,33,4,422,0.009478672985781991
2012Q3,34,2,422,0.004739336492890996
2012Q3,36,3,422,0.0071090047393364926
2012Q3,37,4,422,0.009478672985781991
2012Q3,38,3,422,0.0071090047393364926
2012Q3,39,4,422,0.009478672985781991
2012Q3,40,7,422,0.016587677725118485
2012Q3,41,5,422,0.011848341232227487
2012Q3,43,1,422,0.002369668246445498
2012Q3,44,10,422,0.023696682464454975
2012Q3,45,1,422,0.002369668246445498
2012Q3,46,3,422,0.0071090047393364926
2012Q3,48,2,422,0.004739336492890996
2012Q3,50,1,422,0.002369668246445498
2012Q3,51,2,422,0.004739336492890996
2012Q3,52,2,422,0.004739336492890996
2012Q3,54,4,422,0.009478672985781991
2012Q3,55,2,422,0.004739336492890996
2012Q4,0,43,387,0.1111111111111111
2012Q4,1,11,387,0.028423772609819122
2012Q4,2,23,387,0.059431524547803614
2012Q4,3,10,387,0.025839793281653745
2012Q4,4,9,387,0.023255813953488372
2012Q4,5,6,387,0.015503875968992248
2012Q4,6,26,387,0.06718346253229975
2012Q4,7,7,387,0.01808785529715762
2012Q4,8,12,387,0.031007751937984496
2012Q4,9,11,387,0.028423772609819122
2012Q4,10,8,387,0.020671834625323
2012Q4,11,15,387,0.03875968992248062
2012Q4,12,5,387,0.012919896640826873
2012Q4,13,7,387,0.01808785529715762
2012Q4,14,8,387,0.020671834625323
2012Q4,15,4,387,0.0103359173126615
2012Q4,16,13,387,0.03359173126614987
2012Q4,17,5,387,0.012919896640826873
2012Q4,18,11,387,0.028423772609819122
2012Q4,19,10,387,0.025839793281653745
2012Q4,20,8,387,0.020671834625323
2012Q4,21,5,387,0.012919896640826873
2012Q4,22,1,387,0.002583979328165375
2012Q4,23,4,387,0.0103359173126615
2012Q4,24,7,387,0.01808785529715762
2012Q4,25,6,387,0.015503875968992248
2012Q4,26,3,387,0.007751937984496124
2012Q4,27,10,387,0.025839793281653745
2012Q4,28,4,387,0.0103359173126615
2012Q4,29,4,387,0.0103359173126615
2012Q4,30,1,387,0.002583979328165375
2012Q4,31,3,387,0.007751937984496124
2012Q4,32,6,387,0.015503875968992248
2012Q4,33,6,387,0.015503875968992248
2012Q4,34,1,387,0.002583979328165375
2012Q4,35,1,387,0.002583979328165375
2012Q4,36,9,387,0.023255813953488372
2012Q4,37,2,387,0.00516795865633075
2012Q4,38,5,387,0.012919896640826873
